Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT
Finland,Free,1,1,100,85,0.920,0.868,5.6,10,5.5,2.8,0.920,1.9,0.887,11.7,0.802,3.9,1.0,27.1,1.4,17,"7,9",74.5,75.3,61.0,92.1,75.27,136.95,20,27,22,18,44,31,20587,2733,117,4.25,19.13,-21.2,20,9.79,20.17,53.75,1,19.31,-1.54,24
France,Free,1,2,90,72,0.901,0.808,10.3,1,10.1,3.6,0.930,8.6,0.768,18.1,0.739,5.2,1.3,32.7,1.4,32,"22,21",60.7,79.5,42.2,56.5,78.34,143.47,3,12,6,4,4,1,10757,3071,180,5.91,23.66,1.6,31,23,45,45,1.2,18.8,-0.7,20
Gabon,Not Free,7,5,23,31,0.702,0.545,22.3,-8,22.3,23.1,0.550,23.5,0.481,20.4,0.613,8.4,2.1,42.2,8.0,169,"35,6",-,-,-,-,-,-,144,136,141,95,143,139,1961,297,445,0.81,27.19,20.78,30,-,-,-,1.9,46.95,-16.92,18
"Gambia, The",Partly Free,4,5,41,37,0.460,0.289,37.2,-4,36.4,28.5,0.456,49.3,0.189,31.5,0.281,5.9,1.5,35.9,9.1,149,"31,35",-,-,-,-,-,-,143,155,153,158,109,146,2321,175,-,-,31.66,21.63,31,-,-,-,7.46,75.64,-10.91,15
Gaza Strip,Not Free,7,6,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Georgia,Partly Free,3,3,64,58,0.780,0.682,12.6,4,12.0,8.1,0.756,2.2,0.826,25.7,0.508,6.5,1.5,36.5,1.0,6,"28,98",-,-,-,-,51.73,89.18,44,61,76,125,84,114,8774,535,188,7.15,22.97,-8.59,15,-,-,20,4.3,59.31,-3.3,18
Germany,Free,1,1,94,80,0.936,0.861,8.1,-2,7.8,3.0,0.913,2.7,0.915,17.7,0.763,5.1,1.2,31.7,1.2,24,"14,6",66.8,79.9,44.9,76.6,73.58,134.05,22,20,14,3,41,25,15299,3208,136,2.79,22.34,-9.3,30,20.08,19.83,45,1.6,11.54,-7.62,19
Ghana,Free,1,2,83,41,0.592,0.420,28.9,-5,28.8,26.2,0.489,34.9,0.363,25.3,0.419,8.9,2.1,42.4,,114,"20,81",-,-,-,-,-,-,149,149,139,166,158,135,3368,252,290,0.01,30.73,22.69,25,5.5,13,30,9.1,63.1,0.4,12
Greece,Free,2,2,85,45,0.870,0.753,13.5,-8,13.1,3.5,0.912,13.1,0.728,22.8,0.642,7.1,1.5,36.0,0.8,72,"29,08",-,-,-,-,55.48,98.13,7,6,23,30,11,14,7862,1525,230,0.3,28.43,1.22,28,16,25.06,45,-0.3,33.7,-2.9,24
Grenada,Free,1,2,88,52,0.772,,,,,8.0,0.761,,,,,,,,10.2,147,-,-,-,-,-,-,-,49,82,68,67,49,85,5700,1399,-,-,29.16,24.16,28,4,5,28,-,-,-,15
